"id","commodity__sid","commodity__code","commodity__suffix","commodity__description","commodity__validity_start","commodity__validity_end","parent__sid","parent__code","parent__suffix"
1,27623,"0100000000","80","LIVE ANIMALS","1971-12-31","#NA","#NA","#NA","#NA"
2,27624,"0101000000","80","Live horses, asses, mules and hinnies","1972-01-01","#NA",27623,"0100000000","80"
3,93797,"0101210000","10","Horses","2012-01-01","#NA",27624,"0101000000","80"
4,93796,"0101210000","80","Pure-bred breeding animals","2012-01-01","#NA",93797,"0101210000","10"
5,93798,"0101290000","80","Other","2012-01-01","#NA",93797,"0101210000","10"
6,93799,"0101291000","80","For slaughter","2012-01-01","#NA",93798,"0101290000","80"
7,93800,"0101299000","80","Other","2012-01-01","#NA",93798,"0101290000","80"
8,93801,"0101300000","80","Asses","2012-01-01","#NA",27624,"0101000000","80"
9,72763,"0101900000","80","Other","2002-01-01","#NA",27624,"0101000000","80"
10,27633,"0102000000","80","Live bovine animals","1972-01-01","#NA",27623,"0100000000","80"
11,94053,"0102210000","10","Cattle","2012-01-01","#NA",27633,"0102000000","80"
12,94047,"0102210000","80","Pure-bred breeding animals","2012-01-01","#NA",94053,"0102210000","10"
13,94048,"0102211000","80","Heifers (female bovines that have never calved)","2012-01-01","#NA",94047,"0102210000","80"
14,94049,"0102213000","80","Cows","2012-01-01","#NA",94047,"0102210000","80"
15,94050,"0102219000","80","Other","2012-01-01","#NA",94047,"0102210000","80"
16,94056,"0102290000","80","Other","2012-01-01","#NA",94053,"0102210000","10"
17,96756,"0102290500","80","Of the sub-genus Bibos or of the sub-genus Poephagus","2013-01-01","#NA",94056,"0102290000","80"
18,96757,"0102291000","10","Other","2013-01-01","#NA",94056,"0102290000","80"
19,94057,"0102291000","80","Of a weight not exceeding 80 kg","2012-01-01","#NA",96757,"0102291000","10"
20,94058,"0102291010","80","Young male bovine animals, intended for fattening","2012-01-01","#NA",94057,"0102291000","80"
21,94059,"0102291020","80","Heifers of the grey, brown or yellow mountain breeds and spotted Pinzgau breed, other than for slaughter","2012-01-01","#NA",94057,"0102291000","80"
22,94060,"0102291030","80","Heifers of the Schwyz and Fribourg breeds, other than for slaughter","2012-01-01","#NA",94057,"0102291000","80"
23,94061,"0102291040","80","Heifers of the spotted Simmental breed, other than for slaughter","2012-01-01","#NA",94057,"0102291000","80"
24,94062,"0102291050","80","Bulls of the Schwyz, Fribourg and spotted Simmental breeds, other than for slaughter","2012-01-01","#NA",94057,"0102291000","80"
25,94063,"0102291090","80","Other","2012-01-01","#NA",94057,"0102291000","80"
26,94064,"0102292100","10","Of a weight exceeding 80 kg but not exceeding 160 kg","2012-01-01","#NA",96757,"0102291000","10"
27,94065,"0102292100","80","For slaughter","2012-01-01","#NA",94064,"0102292100","10"
28,94066,"0102292900","80","Other","2012-01-01","#NA",94064,"0102292100","10"
29,94067,"0102292910","80","Young male bovine animals, intended for fattening","2012-01-01","#NA",94066,"0102292900","80"
30,94068,"0102292920","80","Heifers of the grey, brown or yellow mountain breeds and spotted Pinzgau breed","2012-01-01","#NA",94066,"0102292900","80"
31,94069,"0102292930","80","Heifers of the Schwyz and Fribourg breeds","2012-01-01","#NA",94066,"0102292900","80"
32,94070,"0102292940","80","Heifers of the spotted Simmental breed","2012-01-01","#NA",94066,"0102292900","80"
33,94071,"0102292950","80","Bulls of the Schwyz, Fribourg and spotted Simmental breeds","2012-01-01","#NA",94066,"0102292900","80"
34,94072,"0102292990","80","Other","2012-01-01","#NA",94066,"0102292900","80"
35,94073,"0102294100","10","Of a weight exceeding 160 kg but not exceeding 300 kg","2012-01-01","#NA",96757,"0102291000","10"
36,94074,"0102294100","80","For slaughter","2012-01-01","#NA",94073,"0102294100","10"
37,94075,"0102294900","80","Other","2012-01-01","#NA",94073,"0102294100","10"
38,94076,"0102294910","80","Young male bovine animals, intended for fattening","2012-01-01","#NA",94075,"0102294900","80"
39,94077,"0102294920","80","Heifers and cows of the grey, brown or yellow mountain breeds and spotted Pinzgau breed","2012-01-01","#NA",94075,"0102294900","80"
40,94078,"0102294930","80","Heifers and cows of the Schwyz and Fribourg breeds","2012-01-01","#NA",94075,"0102294900","80"
41,94079,"0102294940","80","Heifers and cows of the spotted Simmental breed","2012-01-01","#NA",94075,"0102294900","80"
42,94080,"0102294950","80","Bulls of the Schwyz, Fribourg and spotted Simmental breeds","2012-01-01","#NA",94075,"0102294900","80"
43,94081,"0102294990","80","Other","2012-01-01","#NA",94075,"0102294900","80"
44,94082,"0102295100","10","Of a weight exceeding 300 kg","2012-01-01","#NA",96757,"0102291000","10"
45,94083,"0102295100","20","Heifers (female bovines that have never calved)","2012-01-01","#NA",94082,"0102295100","10"
46,94084,"0102295100","80","For slaughter","2012-01-01","#NA",94083,"0102295100","20"
47,94085,"0102295110","80","Not yet having any permanent teeth, of a weight of not less than 320 kg but not more than 470 kg","2012-01-01","#NA",94084,"0102295100","80"
48,94086,"0102295190","80","Other","2012-01-01","#NA",94084,"0102295100","80"
49,94087,"0102295900","80","Other","2012-01-01","#NA",94083,"0102295100","20"
50,94088,"0102295911","10","Heifers of the grey, brown or yellow mountain breeds and spotted Pinzgau breed","2012-01-01","#NA",94087,"0102295900","80"
51,94089,"0102295911","80","Not yet having any permanent teeth, of a weight of not less than 320 kg but not more than 470 kg","2012-01-01","#NA",94088,"0102295911","10"
52,94090,"0102295919","80","Other","2012-01-01","#NA",94088,"0102295911","10"
53,94091,"0102295921","10","Of the Schwyz and Fribourg breeds","2012-01-01","#NA",94087,"0102295900","80"
54,94092,"0102295921","80","Not yet having any permanent teeth, of a weight of not less than 320 kg but not more than 470 kg","2012-01-01","#NA",94091,"0102295921","10"
55,94093,"0102295929","80","Other","2012-01-01","#NA",94091,"0102295921","10"
56,94094,"0102295931","10","Of the spotted Simmental breed","2012-01-01","#NA",94087,"0102295900","80"
57,94095,"0102295931","80","Not yet having any permanent teeth, of a weight of not less than 320 kg but not more than 470 kg","2012-01-01","#NA",94094,"0102295931","10"
58,94096,"0102295939","80","Other","2012-01-01","#NA",94094,"0102295931","10"
59,94097,"0102295991","10","Other","2012-01-01","#NA",94087,"0102295900","80"
60,94098,"0102295991","80","Not yet having any permanent teeth, of a weight of not less than 320 kg but not more than 470 kg","2012-01-01","#NA",94097,"0102295991","10"
61,94099,"0102295999","80","Other","2012-01-01","#NA",94097,"0102295991","10"
62,94100,"0102296100","10","Cows","2012-01-01","#NA",94082,"0102295100","10"
63,94101,"0102296100","80","For slaughter","2012-01-01","#NA",94100,"0102296100","10"
64,94102,"0102296900","80","Other","2012-01-01","#NA",94100,"0102296100","10"
65,94103,"0102296910","80","Heifers of the grey, brown or yellow mountain breeds and spotted Pinzgau breed","2012-01-01","#NA",94102,"0102296900","80"
66,94104,"0102296920","80","Of the Schwyz and Fribourg breeds","2012-01-01","#NA",94102,"0102296900","80"
67,94105,"0102296930","80","Of the spotted Simmental breed","2012-01-01","#NA",94102,"0102296900","80"
68,94106,"0102296990","80","Other","2012-01-01","#NA",94102,"0102296900","80"
69,94118,"0102299100","10","Other","2012-01-01","#NA",94082,"0102295100","10"
70,94119,"0102299100","80","For slaughter","2012-01-01","#NA",94118,"0102299100","10"
71,94120,"0102299110","80","Not yet having any permanent teeth, of a weight of not less than 350 kg but not more than 500 kg","2012-01-01","#NA",94119,"0102299100","80"
72,94121,"0102299190","80","Other","2012-01-01","#NA",94119,"0102299100","80"
73,94122,"0102299900","80","Other","2012-01-01","#NA",94118,"0102299100","10"
74,94123,"0102299921","10","Bulls of the Schwyz, Fribourg and spotted Simmental breeds","2012-01-01","#NA",94122,"0102299900","80"
75,94124,"0102299921","80","Not yet having any permanent teeth, of a weight of not less than 350 kg but not more than 500 kg","2012-01-01","#NA",94123,"0102299921","10"
76,94125,"0102299929","80","Other","2012-01-01","#NA",94123,"0102299921","10"
77,94126,"0102299991","10","Other","2012-01-01","#NA",94122,"0102299900","80"
78,94127,"0102299991","80","Not yet having any permanent teeth, of a weight of not less than 350 kg but not more than 500 kg","2012-01-01","#NA",94126,"0102299991","10"
79,94128,"0102299999","80","Other","2012-01-01","#NA",94126,"0102299991","10"
80,94054,"0102310000","10","Buffalo","2012-01-01","#NA",27633,"0102000000","80"
81,94051,"0102310000","80","Pure-bred breeding animals","2012-01-01","#NA",94054,"0102310000","10"
82,94055,"0102390000","80","Other","2012-01-01","#NA",94054,"0102310000","10"
83,94129,"0102391000","80","Domestic species","2012-01-01","#NA",94055,"0102390000","80"
84,96165,"0102391010","80","Of a weight exceeding 160 kg","2012-01-01","#NA",94129,"0102391000","80"
85,96167,"0102391090","80","Other","2012-01-01","#NA",94129,"0102391000","80"
86,94130,"0102399000","80","Other","2012-01-01","#NA",94055,"0102390000","80"
87,27638,"0102900000","80","Other","1972-01-01","#NA",27633,"0102000000","80"
88,94052,"0102902000","80","Pure-bred breeding animals","2012-01-01","#NA",27638,"0102900000","80"
89,94131,"0102909100","10","Other","2012-01-01","#NA",27638,"0102900000","80"
90,94132,"0102909100","80","Domestic species","2012-01-01","#NA",94131,"0102909100","10"
91,96168,"0102909110","80","Of a weight exceeding 160 kg","2012-01-01","#NA",94132,"0102909100","80"
92,96166,"0102909190","80","Other","2012-01-01","#NA",94132,"0102909100","80"
93,94133,"0102909900","80","Other","2012-01-01","#NA",94131,"0102909100","10"
94,27762,"0103000000","80","Live swine","1972-01-01","#NA",27623,"0100000000","80"
95,27763,"0103100000","80","Pure-bred breeding animals","1972-01-01","#NA",27762,"0103000000","80"
96,27764,"0103910000","10","Other","1972-01-01","#NA",27762,"0103000000","80"
97,27765,"0103910000","80","Weighing less than 50 kg","1972-01-01","#NA",27764,"0103910000","10"
98,27766,"0103911000","80","Domestic species","1972-01-01","#NA",27765,"0103910000","80"
99,27767,"0103919000","80","Other","1972-01-01","#NA",27765,"0103910000","80"
100,27768,"0103920000","80","Weighing 50 kg or more","1972-01-01","#NA",27764,"0103910000","10"
101,27769,"0103921100","10","Domestic species","1989-01-01","#NA",27768,"0103920000","80"
102,27770,"0103921100","80","Sows having farrowed at least once, of a weight of not less than 160 kg","1972-01-01","#NA",27769,"0103921100","10"
103,27771,"0103921900","80","Other","1972-01-01","#NA",27769,"0103921100","10"
104,27772,"0103929000","80","Other","1972-01-01","#NA",27768,"0103920000","80"
105,27773,"0104000000","80","Live sheep and goats","1972-01-01","#NA",27623,"0100000000","80"
106,27774,"0104100000","80","Sheep","1972-01-01","#NA",27773,"0104000000","80"
107,27775,"0104101000","80","Pure-bred breeding animals","1972-01-01","#NA",27774,"0104100000","80"
108,27776,"0104103000","10","Other","1993-01-01","#NA",27774,"0104100000","80"
109,27777,"0104103000","80","Lambs (up to a year old)","1993-01-01","#NA",27776,"0104103000","10"
110,27778,"0104108000","80","Other","1993-01-01","#NA",27776,"0104103000","10"
111,27780,"0104200000","80","Goats","1972-01-01","#NA",27773,"0104000000","80"
112,27781,"0104201000","80","Pure-bred breeding animals","1972-01-01","#NA",27780,"0104200000","80"
113,27782,"0104209000","80","Other","1972-01-01","#NA",27780,"0104200000","80"
114,27783,"0105000000","80","Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls","1972-01-01","#NA",27623,"0100000000","80"
115,27784,"0105110000","10","Weighing not more than 185 g","1972-01-01","#NA",27783,"0105000000","80"
116,27785,"0105110000","80","Fowls of the species Gallus domesticus","1972-01-01","#NA",27784,"0105110000","10"
117,27786,"0105111100","10","Grandparent and parent female chicks","1993-01-01","#NA",27785,"0105110000","80"
118,27787,"0105111100","80","Laying stocks","1993-01-01","#NA",27786,"0105111100","10"
119,27788,"0105111900","80","Other","1993-01-01","#NA",27786,"0105111100","10"
120,27789,"0105119100","10","Other","1993-01-01","#NA",27785,"0105110000","80"
121,27790,"0105119100","80","Laying stocks","1993-01-01","#NA",27789,"0105119100","10"
